1.21537 0.02329 -1.23883 0.23273 1.05221 0.33555 -0.17259 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.37716957926750183 0.4765036106109619 0.5291127562522888 0.6596282124519348 0.5093371272087097 0.3318657875061035 0.6189742684364319 0.5881509184837341 0.5276158452033997 0.5921276211738586 0.5582435727119446 0.520494818687439 0.4095708727836609 0.5900188088417053 0.42211058735847473 0.3540872037410736 0.4049196243286133 0.5048608183860779 0.4459502696990967 0.47963207960128784
1.18355 0.01943 -1.20239 0.29253 0.98309 0.25488 -0.17255 0.8240000000000123 -0.16296 0.21291999999999955 0.49630999999999936 -0.030794999999999906 0.0 -0.01808500000000013 -5.099999999999909 0.3000000000000007 -3.8999999999999773 -5.100000000000001  0.42261040210723877 0.41913607716560364 0.46732327342033386 0.5174110531806946 0.5483654141426086 0.47432658076286316 0.42361798882484436 0.47339513897895813 0.5366244316101074 0.6427233815193176 0.5555289387702942 0.36919865012168884 0.33920496702194214 0.39676377177238464 0.38299256563186646 0.39396169781684875 0.3672856092453003 0.51475590467453 0.500373125076294 0.48434022068977356
1.13186 0.01091 -1.13924 0.41292 0.86985 0.1174 -0.17181 2.069065000000009 -0.7061600000000001 0.77928 0.7764849999999992 -0.05162749999999994 -0.06272 -0.05650749999999993 -26.085000000000036 -1.2449999999999992 -2.4149999999999636 -7.035000000000004  0.47209903597831726 0.5409988164901733 0.39797285199165344 0.5411438941955566 0.5468484163284302 0.3435257077217102 0.6957159638404846 0.5694141387939453 0.5334568023681641 0.6096593737602234 0.5462666153907776 0.5754506587982178 0.5413539409637451 0.6539972424507141 0.5245491862297058 0.3227783441543579 0.5951417684555054 0.528766930103302 0.4554022550582886 0.4827372431755066
1.12606 -0.12894 -1.13086 0.41871 0.9952 0.2531 -0.17276 3.4974875000000054 -1.348945 1.3009250000000003 1.1513875000000002 -0.18342874999999992 -0.055635000000000004 -0.0033937500000003062 -29.072250000000167 -1.5082499999999985 -12.102750000000015 -12.579750000000004  0.38038522005081177 0.4285017251968384 0.3119196891784668 0.4779207408428192 0.607412576675415 0.5939384698867798 0.5178520679473877 0.5497971773147583 0.5760946273803711 0.5779051780700684 0.6110961437225342 0.4754139184951782 0.6819125413894653 0.6994666457176208 0.5408396124839783 0.42287585139274597 0.6313584446907043 0.5189662575721741 0.5447819232940674 0.494433730840683
1.08171 -0.32855 -1.19155 0.6667 1.03072 0.35762 -0.17282 3.3424237499999947 -1.9419374999999999 1.5404574999999996 1.16806375 -0.30548937499999995 -0.1512375 0.1463281249999997 -107.36141250000037 -0.23201249999999973 -30.087337500000103 -13.0927875  0.3555334210395813 0.3639085590839386 0.352927565574646 0.5640317797660828 0.5943706035614014 0.5980925559997559 0.36714428663253784 0.5648237466812134 0.5642898082733154 0.5349252820014954 0.5903639197349548 0.4948391318321228 0.6012136936187744 0.6767152547836304 0.44725626707077026 0.468942254781723 0.6686013340950012 0.5013299584388733 0.5856240391731262 0.4905046224594116
1.07507 -0.38672 -1.27645 0.86149 1.03269 0.37098 -0.1727 2.866471875000002 -2.6458287499999997 2.0775387499999995 1.0536618750000013 -0.3012996874999999 -0.27997374999999997 0.08897906249999976 -187.40720062500077 9.552789375 -25.57423687500011 -14.728869375000002  0.5145434737205505 0.36799269914627075 0.5111314058303833 0.5363494753837585 0.5733119249343872 0.34185636043548584 0.3868566155433655 0.542626678943634 0.5500427484512329 0.4409538805484772 0.5143346190452576 0.4634147584438324 0.6565557718276978 0.44697868824005127 0.3688187301158905 0.4814797639846802 0.663785994052887 0.5187563896179199 0.4790111482143402 0.48881784081459045
1.07104 -0.38799 -1.33514 0.99474 1.03024 0.37105 -0.17237 2.293455937499999 -3.0158843749999997 2.4269893750000007 1.076510937500002 -0.28470984374999997 -0.338271875 0.06143953124999957 -229.04612053125084 14.86987096875 -33.43810134375008 -19.869538968750003  0.6251311302185059 0.4870295226573944 0.6285004019737244 0.5184535980224609 0.6593274474143982 0.3828229606151581 0.6103134155273438 0.4360053241252899 0.5593615770339966 0.4333110749721527 0.6258881688117981 0.4236873686313629 0.5732372999191284 0.4549732804298401 0.598075270652771 0.5335439443588257 0.5822095274925232 0.4941405951976776 0.4486697018146515 0.5073419809341431
1.04753 -0.33579 -1.31526 1.0001 1.02952 0.39669 -0.17233 1.6175829687499998 -2.8297271875 2.5420946874999997 1.3440954687500017 -0.28003992187499993 -0.3127909375 0.04314476562499969 -242.98920245156341 19.989390323437497 -48.52238614218754 -19.739108123437504  0.5166621208190918 0.46751028299331665 0.6670463681221008 0.35659879446029663 0.5619567036628723 0.32887083292007446 0.6810754537582397 0.35628238320350647 0.5045120716094971 0.6159622669219971 0.6047552824020386 0.3764357268810272 0.40521466732025146 0.6123090982437134 0.6107780337333679 0.42547154426574707 0.5683727860450745 0.5332545638084412 0.45511752367019653 0.5026646256446838
1.0612 -0.20516 -1.29409 0.85824 1.02668 0.3965 -0.17239 1.1709914843750084 -2.73664859375 2.582617343750001 1.509907734375 -0.29219996093749995 -0.30005046874999997 0.05885738281250008 -235.4908220838288 15.940981774921873 -49.044028220859445 -16.178241904921876  0.47475963830947876 0.4671611785888672 0.6413108706474304 0.38960644602775574 0.5367481708526611 0.4903479516506195 0.5716379284858704 0.3379825949668884 0.4404619336128235 0.568371057510376 0.6237120032310486 0.42227092385292053 0.29108917713165283 0.5533562302589417 0.5243704319000244 0.36229389905929565 0.5849180221557617 0.5483304858207703 0.5443242192268372 0.508870542049408
1.09892 -0.0451 -1.23159 0.57108 1.02755 0.39336 -0.17224 1.5543807421875044 -5.116399296875 2.862633671875 0.9364038671875008 -0.23486998046874996 -0.362470234375 0.08592369140624978 -269.91719877125433 19.849834508683593 -56.08742398773052 -20.351505619183595  0.40926334261894226 0.5021530389785767 0.5818185210227966 0.4521225690841675 0.5387533903121948 0.5556000471115112 0.46532121300697327 0.418821781873703 0.4553905427455902 0.6448249816894531 0.4638993740081787 0.4794783592224121 0.3428875207901001 0.41258859634399414 0.4139082729816437 0.27141788601875305 0.49496784806251526 0.5335620641708374 0.4962541162967682 0.4766732156276703
