1.21537 0.02329 -1.23883 0.23273 1.05221 0.33555 -0.17259 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.5644799470901489 0.5578010082244873 0.4317956864833832 0.4691767394542694 0.5693425536155701 0.4532824754714966 0.6792066097259521 0.5901206135749817 0.5376158952713013 0.6496636867523193 0.6716486811637878 0.5069812536239624 0.5130716562271118 0.5369396209716797 0.5120905041694641 0.6442649364471436 0.5088524222373962 0.573973536491394 0.594255268573761 0.520699679851532 0.42676296830177307 0.5785516500473022 0.44834017753601074 0.5098011493682861 0.5844511985778809 0.5986555814743042 0.44966477155685425 0.4957875907421112 0.45045599341392517 0.43581947684288025
1.18355 0.01943 -1.20239 0.29253 0.98309 0.25488 -0.17255 0.8240000000000123 -0.16296 0.21291999999999955 0.49630999999999936 -0.030794999999999906 0.0 -0.01808500000000013 -5.099999999999909 0.3000000000000007 -3.8999999999999773 -5.100000000000001  0.5131706595420837 0.5128001570701599 0.4827265739440918 0.4836639165878296 0.5384358763694763 0.41101208329200745 0.6107630133628845 0.599392294883728 0.44261372089385986 0.5512445569038391 0.6493998169898987 0.49461716413497925 0.5833336710929871 0.5073533058166504 0.5719636678695679 0.6419540643692017 0.4751008152961731 0.5540381073951721 0.46514812111854553 0.4975791871547699 0.36804431676864624 0.5363577008247375 0.49433839321136475 0.48650312423706055 0.5967597961425781 0.6274853944778442 0.42757004499435425 0.6126649379730225 0.49163520336151123 0.349285364151001
1.13186 0.01091 -1.13924 0.41292 0.86985 0.1174 -0.17181 2.069065000000009 -0.7061600000000001 0.77928 0.7764849999999992 -0.05162749999999994 -0.06272 -0.05650749999999993 -26.085000000000036 -1.2449999999999992 -2.4149999999999636 -7.035000000000004  0.540503978729248 0.5950798392295837 0.39820587635040283 0.49872711300849915 0.558458685874939 0.47261637449264526 0.6784104108810425 0.5690407156944275 0.47943416237831116 0.6145741939544678 0.6776421070098877 0.5332326889038086 0.5902201533317566 0.5679041743278503 0.4877290427684784 0.6402822732925415 0.5023047924041748 0.5585335493087769 0.5311204791069031 0.5160332918167114 0.42569500207901 0.5593331456184387 0.45121049880981445 0.5191256403923035 0.5693442821502686 0.593454122543335 0.4503733813762665 0.5058515667915344 0.49613213539123535 0.45519161224365234
1.12606 -0.12894 -1.13086 0.41871 0.9952 0.2531 -0.17276 3.4974875000000054 -1.348945 1.3009250000000003 1.1513875000000002 -0.18342874999999992 -0.055635000000000004 -0.0033937500000003062 -29.072250000000167 -1.5082499999999985 -12.102750000000015 -12.579750000000004  0.5435469150543213 0.5561217069625854 0.43170079588890076 0.47351136803627014 0.5898138284683228 0.43327635526657104 0.631493330001831 0.6055045127868652 0.49975866079330444 0.6322569847106934 0.6206283569335938 0.48424583673477173 0.5470626950263977 0.5782731771469116 0.5076531171798706 0.6124804019927979 0.4348545968532562 0.5913651585578918 0.5943162441253662 0.4746183156967163 0.42025619745254517 0.5780595541000366 0.5217457413673401 0.5053354501724243 0.5970592498779297 0.6054112315177917 0.4338291585445404 0.5424156785011292 0.5229831337928772 0.5101494789123535
1.08171 -0.32855 -1.19155 0.6667 1.03072 0.35762 -0.17282 3.3424237499999947 -1.9419374999999999 1.5404574999999996 1.16806375 -0.30548937499999995 -0.1512375 0.1463281249999997 -107.36141250000037 -0.23201249999999973 -30.087337500000103 -13.0927875  0.5593158006668091 0.5294822454452515 0.4566240608692169 0.42615625262260437 0.5972389578819275 0.4393317699432373 0.6097666025161743 0.5732027292251587 0.5040507316589355 0.6555769443511963 0.621120810508728 0.5076902508735657 0.5124161243438721 0.5463325381278992 0.5177107453346252 0.5919973254203796 0.46129393577575684 0.6174418330192566 0.5990617275238037 0.4736650586128235 0.44437268376350403 0.5430222153663635 0.588158369064331 0.5053096413612366 0.6187763214111328 0.6263108253479004 0.38614341616630554 0.5322942733764648 0.5945918560028076 0.5193172097206116
1.07507 -0.38672 -1.27645 0.86149 1.03269 0.37098 -0.1727 2.866471875000002 -2.6458287499999997 2.0775387499999995 1.0536618750000013 -0.3012996874999999 -0.27997374999999997 0.08897906249999976 -187.40720062500077 9.552789375 -25.57423687500011 -14.728869375000002  0.4923074543476105 0.5905988812446594 0.3978677988052368 0.4769933819770813 0.5235041975975037 0.5212162733078003 0.556328535079956 0.5024305582046509 0.4109920859336853 0.592887282371521 0.534879744052887 0.47013628482818604 0.3933286666870117 0.5640333294868469 0.621580958366394 0.6419845819473267 0.42186328768730164 0.5867226123809814 0.35482531785964966 0.6349084377288818 0.43786925077438354 0.5522572994232178 0.5329212546348572 0.4715621769428253 0.5351225733757019 0.6129853129386902 0.5731865167617798 0.396009236574173 0.38535407185554504 0.6399891376495361
1.07104 -0.38799 -1.33514 0.99474 1.03024 0.37105 -0.17237 2.293455937499999 -3.0158843749999997 2.4269893750000007 1.076510937500002 -0.28470984374999997 -0.338271875 0.06143953124999957 -229.04612053125084 14.86987096875 -33.43810134375008 -19.869538968750003  0.30819961428642273 0.4300157427787781 0.4269081950187683 0.4628801643848419 0.6094865202903748 0.48848724365234375 0.5866542458534241 0.5089192986488342 0.47082817554473877 0.559172511100769 0.35338738560676575 0.47800683975219727 0.3511740267276764 0.367948055267334 0.4328076243400574 0.5078386664390564 0.4869137108325958 0.4850292503833771 0.41266247630119324 0.6684952974319458 0.43440428376197815 0.3386026620864868 0.37928086519241333 0.5465150475502014 0.5598872303962708 0.6163938045501709 0.42791640758514404 0.7057415246963501 0.40498268604278564 0.48105356097221375
1.04753 -0.33579 -1.31526 1.0001 1.02952 0.39669 -0.17233 1.6175829687499998 -2.8297271875 2.5420946874999997 1.3440954687500017 -0.28003992187499993 -0.3127909375 0.04314476562499969 -242.98920245156341 19.989390323437497 -48.52238614218754 -19.739108123437504  0.2187982201576233 0.564947247505188 0.34366798400878906 0.4142659902572632 0.5516906380653381 0.554526686668396 0.4993077516555786 0.48215335607528687 0.5589258670806885 0.5819292664527893 0.4175775647163391 0.6032450199127197 0.37628015875816345 0.44305670261383057 0.3947835862636566 0.487172394990921 0.5445685386657715 0.6033840775489807 0.27706682682037354 0.38116705417633057 0.529967188835144 0.1982955038547516 0.5367690324783325 0.5679910182952881 0.5490565299987793 0.5828700065612793 0.5556353330612183 0.3431708812713623 0.4924658536911011 0.4190472364425659
1.0612 -0.20516 -1.29409 0.85824 1.02668 0.3965 -0.17239 1.1709914843750084 -2.73664859375 2.582617343750001 1.509907734375 -0.29219996093749995 -0.30005046874999997 0.05885738281250008 -235.4908220838288 15.940981774921873 -49.044028220859445 -16.178241904921876  0.35718122124671936 0.6375438570976257 0.43246158957481384 0.4945826232433319 0.5655660629272461 0.5110755562782288 0.4501698315143585 0.446926087141037 0.45009028911590576 0.6796776056289673 0.5098023414611816 0.5234730243682861 0.470084547996521 0.508285641670227 0.4556960463523865 0.436870813369751 0.44163593649864197 0.5863088965415955 0.2804833948612213 0.5169677138328552 0.30430638790130615 0.2639320492744446 0.5047749876976013 0.5668888688087463 0.47398942708969116 0.4527667164802551 0.5958786606788635 0.5225382447242737 0.6646464467048645 0.4090779423713684
1.09892 -0.0451 -1.23159 0.57108 1.02755 0.39336 -0.17224 1.5543807421875044 -5.116399296875 2.862633671875 0.9364038671875008 -0.23486998046874996 -0.362470234375 0.08592369140624978 -269.91719877125433 19.849834508683593 -56.08742398773052 -20.351505619183595  0.4489161968231201 0.590536892414093 0.5181700587272644 0.5054040551185608 0.5563827753067017 0.48366329073905945 0.4754946529865265 0.5132092833518982 0.47951826453208923 0.6518803834915161 0.6012450456619263 0.42818281054496765 0.5652036070823669 0.589002251625061 0.6131008863449097 0.495104044675827 0.5202162265777588 0.5766717791557312 0.41961613297462463 0.5095784068107605 0.39645206928253174 0.43865007162094116 0.6155902743339539 0.4857516288757324 0.5475196838378906 0.5304873585700989 0.4514620006084442 0.6881852149963379 0.5804714560508728 0.3382715880870819
